using device: cpu
Loading pretrained GPT-2 model: gpt2
loaded 338025 tokens
1 epoch = 2640 batches
step 0, loss: 5.106705665588379
step 268, loss: 3.6804468631744385
step 269, loss: 3.017101287841797
step 270, loss: 2.8567893505096436
step 271, loss: 3.474177360534668
step 272, loss: 4.317761421203613
step 273, loss: 4.0497894287109375
step 274, loss: 3.8060193061828613
step 275, loss: 4.4831862449646
step 276, loss: 3.9969394207000732
step 277, loss: 4.3963446617126465
step 278, loss: 3.290599822998047
step 279, loss: 2.626439332962036
step 280, loss: 3.127066135406494
step 281, loss: 3.6804370880126953
step 282, loss: 3.720655679702759
step 283, loss: 3.879833698272705
step 284, loss: 3.5076100826263428
step 285, loss: 3.525977373123169
step 286, loss: 3.3021512031555176
step 287, loss: 3.5402650833129883
step 288, loss: 4.072795391082764
step 289, loss: 3.737495183944702
step 290, loss: 3.8621339797973633
step 291, loss: 3.5676441192626953
step 292, loss: 3.973714828491211
step 293, loss: 3.662916421890259
step 294, loss: 3.2198824882507324
step 295, loss: 2.936190128326416
step 296, loss: 3.6617186069488525
step 297, loss: 4.018409252166748
step 298, loss: 4.167963981628418
step 299, loss: 4.311342716217041
step 300, loss: 4.589818954467773
step 301, loss: 4.465315818786621
step 302, loss: 3.439811944961548
step 303, loss: 3.8910999298095703
step 304, loss: 3.767385721206665
step 305, loss: 3.937666893005371
step 306, loss: 3.0079097747802734
step 307, loss: 4.502983093261719
step 308, loss: 2.9773576259613037
step 309, loss: 4.370871543884277
step 310, loss: 3.1050357818603516
step 311, loss: 3.439723253250122
step 312, loss: 4.6638970375061035
step 313, loss: 3.731752872467041
step 314, loss: 4.031481742858887
step 315, loss: 4.08387565612793
step 316, loss: 3.520646333694458
step 317, loss: 4.76973295211792
step 318, loss: 3.9224867820739746
step 319, loss: 4.6481804847717285
step 320, loss: 2.91058349609375
step 321, loss: 4.120361804962158
step 322, loss: 3.721418619155884
step 323, loss: 4.987096786499023
step 324, loss: 5.253626346588135
step 325, loss: 4.203490257263184
step 326, loss: 4.682925701141357
step 327, loss: 4.447874069213867
step 328, loss: 3.996356248855591
step 329, loss: 3.6881372928619385
step 330, loss: 3.7828590869903564
step 331, loss: 3.6709063053131104
step 332, loss: 5.114378929138184
step 333, loss: 4.76134729385376
step 334, loss: 4.069720268249512
step 335, loss: 3.9389686584472656
step 336, loss: 4.436750411987305
step 337, loss: 4.58310604095459
step 338, loss: 4.374699115753174
step 339, loss: 4.334414005279541
step 340, loss: 3.632459878921509
step 341, loss: 3.549287796020508
step 342, loss: 3.5261270999908447
step 343, loss: 3.5885238647460938
step 344, loss: 3.6078033447265625
step 345, loss: 4.715045928955078
step 346, loss: 3.869692087173462
step 347, loss: 3.592564821243286
step 348, loss: 4.5709662437438965
step 349, loss: 3.7438952922821045
step 350, loss: 3.651099443435669
step 351, loss: 4.070511341094971
step 352, loss: 3.550736665725708
step 353, loss: 4.1856842041015625
step 354, loss: 4.361396789550781
step 355, loss: 3.9849231243133545
step 356, loss: 4.1613006591796875
step 357, loss: 3.5017457008361816
step 358, loss: 3.7916131019592285
step 359, loss: 4.107242584228516
step 360, loss: 3.2814974784851074
step 361, loss: 4.28082275390625
step 362, loss: 4.056552886962891
step 363, loss: 3.6892542839050293
step 364, loss: 4.2708611488342285
step 365, loss: 2.7676236629486084
step 366, loss: 3.8282177448272705
step 367, loss: 4.045273303985596
step 368, loss: 4.906007766723633
step 369, loss: 5.6511640548706055
step 370, loss: 4.939241886138916
step 371, loss: 5.33341121673584
step 372, loss: 4.414546489715576
step 373, loss: 4.726495265960693
step 374, loss: 4.381545543670654
step 375, loss: 4.748166084289551
step 376, loss: 4.934148788452148
step 377, loss: 4.260481834411621
step 378, loss: 3.7011466026306152
step 379, loss: 3.9345715045928955
step 380, loss: 3.8699212074279785
step 381, loss: 3.704514265060425
step 382, loss: 3.730137348175049
step 383, loss: 4.534610748291016
step 384, loss: 4.73938512802124
step 385, loss: 4.971164226531982
step 386, loss: 5.0023064613342285
step 387, loss: 4.127720832824707
step 388, loss: 3.6398911476135254
step 389, loss: 4.1964430809021
step 390, loss: 4.962125301361084
step 391, loss: 4.117194175720215
step 392, loss: 3.6983766555786133
step 393, loss: 3.5273051261901855
step 394, loss: 3.0169520378112793
step 395, loss: 3.5807971954345703
step 396, loss: 2.739307165145874
step 397, loss: 2.850781202316284
step 398, loss: 3.884840726852417
step 399, loss: 3.1287825107574463
step 400, loss: 2.714984893798828
step 401, loss: 2.2238094806671143
Saved best model with loss: 2.2238 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.2238.pt
step 402, loss: 3.491319179534912
step 403, loss: 5.0357136726379395
step 404, loss: 4.845607757568359
step 405, loss: 3.7347450256347656
step 406, loss: 2.844393491744995
step 407, loss: 2.0911366939544678
Saved best model with loss: 2.0911 to fine_tuned_gpt2\gpt2_finetuned_best_loss_2.0911.pt
step 408, loss: 3.292614221572876
step 409, loss: 4.4984211921691895
step 410, loss: 3.3012125492095947
step 411, loss: 4.265262126922607
step 412, loss: 4.97517204284668
step 413, loss: 4.540679454803467
step 414, loss: 4.182224750518799
step 415, loss: 4.065505027770996
step 416, loss: 4.205849647521973
step 417, loss: 4.1764960289001465
step 418, loss: 3.7097480297088623
step 419, loss: 4.430809497833252
step 420, loss: 4.446236610412598
step 421, loss: 4.126493453979492
step 422, loss: 4.281955718994141
step 423, loss: 3.818333387374878
step 424, loss: 4.0114898681640625
step 425, loss: 4.230896949768066
step 426, loss: 4.162247180938721
step 427, loss: 3.5909485816955566
step 428, loss: 4.040852069854736
step 429, loss: 3.7586429119110107
step 430, loss: 3.4807193279266357
step 431, loss: 4.204544544219971
step 432, loss: 3.595024585723877
step 433, loss: 4.623478412628174
step 434, loss: 3.473196506500244
step 435, loss: 4.862525463104248
step 436, loss: 4.378417015075684
step 437, loss: 3.9512312412261963
step 438, loss: 4.977168083190918
step 439, loss: 2.9510488510131836
step 440, loss: 3.1255741119384766
step 441, loss: 4.197854518890381
step 442, loss: 3.5867457389831543
step 443, loss: 3.4491147994995117
step 444, loss: 4.302112579345703
step 445, loss: 4.040221691131592
step 446, loss: 3.9855480194091797
step 447, loss: 3.283785820007324
step 448, loss: 3.1612792015075684
step 449, loss: 3.8110547065734863
step 450, loss: 3.72841739654541
step 451, loss: 4.5891432762146
step 452, loss: 3.8182971477508545
step 453, loss: 3.6215150356292725
step 454, loss: 4.092803955078125
step 455, loss: 4.85612678527832
step 456, loss: 4.667201519012451
step 457, loss: 3.870645761489868
step 458, loss: 5.0944085121154785
step 459, loss: 4.353532791137695
step 460, loss: 3.7487645149230957
step 461, loss: 4.463057518005371
step 462, loss: 3.180408477783203
step 463, loss: 3.7073733806610107
step 464, loss: 3.809396743774414
step 465, loss: 3.4267191886901855
step 466, loss: 3.1602256298065186
step 467, loss: 4.82466459274292
step 468, loss: 3.8931567668914795
step 469, loss: 3.667632818222046
step 470, loss: 2.7182669639587402
step 471, loss: 3.284097671508789
step 472, loss: 4.354432106018066
step 473, loss: 4.054354190826416
step 474, loss: 3.577991485595703
step 475, loss: 4.279624938964844
step 476, loss: 3.265139102935791
step 477, loss: 3.3999459743499756
step 478, loss: 3.5568959712982178
step 479, loss: 3.363164186477661
step 480, loss: 3.47202730178833
step 481, loss: 3.7000341415405273
step 482, loss: 3.4730281829833984
step 483, loss: 4.679019451141357
step 484, loss: 4.138748645782471
step 485, loss: 3.8747828006744385
step 486, loss: 4.28925895690918
step 487, loss: 4.220834255218506
step 488, loss: 3.9329521656036377
step 489, loss: 4.199253559112549
step 490, loss: 4.134780406951904
step 491, loss: 3.104179620742798
step 492, loss: 4.399191856384277
step 493, loss: 3.403259515762329
step 494, loss: 4.208755970001221
step 495, loss: 4.664793491363525
step 496, loss: 3.9878454208374023
step 497, loss: 3.754990577697754
step 498, loss: 4.010169982910156
step 499, loss: 4.1523284912109375
step 500, loss: 4.28994607925415
step 501, loss: 3.133570671081543
step 502, loss: 4.019163608551025
step 503, loss: 4.2672834396362305
step 504, loss: 4.366705894470215
step 505, loss: 2.753650188446045
step 506, loss: 3.950260877609253
step 507, loss: 4.492121696472168
step 508, loss: 4.113781452178955
step 509, loss: 3.8829243183135986
step 510, loss: 4.446620464324951
step 511, loss: 4.15023136138916
step 512, loss: 3.2781646251678467
step 513, loss: 4.1751203536987305
step 514, loss: 3.6307213306427
step 515, loss: 4.245625019073486
step 516, loss: 4.216914653778076
step 517, loss: 3.9222187995910645
step 518, loss: 4.056567192077637
step 519, loss: 3.476773262023926
step 520, loss: 3.856610059738159
step 521, loss: 3.3184056282043457
step 522, loss: 3.646591901779175
step 523, loss: 2.7132155895233154
step 524, loss: 2.8889894485473633
step 525, loss: 3.8756327629089355
step 526, loss: 4.401609420776367
step 527, loss: 2.8489270210266113
step 528, loss: 3.686551570892334
step 529, loss: 4.408660888671875
step 530, loss: 3.262535572052002
step 531, loss: 3.9052200317382812
step 532, loss: 4.030031204223633
step 533, loss: 4.5309977531433105
step 534, loss: 3.3112471103668213
step 535, loss: 3.622084856033325
step 536, loss: 3.477010726928711
step 537, loss: 3.4920341968536377
step 538, loss: 2.795522451400757
step 539, loss: 2.895267963409424
step 540, loss: 2.93875789642334
step 541, loss: 2.9100606441497803
step 542, loss: 3.6493935585021973
step 543, loss: 2.961418867111206
step 544, loss: 2.713832139968872
step 545, loss: 3.9115090370178223
step 546, loss: 3.390613079071045
step 547, loss: 4.223880767822266
step 548, loss: 3.6169469356536865
step 549, loss: 3.011730194091797
step 550, loss: 3.2210147380828857
step 551, loss: 3.9017679691314697
step 552, loss: 4.28018045425415
step 553, loss: 3.585510730743408
step 554, loss: 3.717381238937378
step 555, loss: 3.6675801277160645
step 556, loss: 3.0652761459350586
step 557, loss: 3.8528945446014404
step 558, loss: 3.50830340385437
step 559, loss: 4.0719170570373535
step 560, loss: 3.4644312858581543
step 561, loss: 3.7301836013793945
step 562, loss: 3.2399370670318604
step 563, loss: 2.836890459060669
step 564, loss: 4.473371505737305
step 565, loss: 4.264866352081299
step 566, loss: 3.4067163467407227
step 567, loss: 3.3662118911743164
step 568, loss: 3.176567316055298
step 569, loss: 3.4956648349761963
step 570, loss: 2.7210326194763184
step 571, loss: 3.530759572982788
step 572, loss: 3.928694486618042
step 573, loss: 3.358644485473633
step 574, loss: 3.8919336795806885
step 575, loss: 4.30203914642334
step 576, loss: 4.333463191986084
step 577, loss: 3.8974344730377197
step 578, loss: 3.816490650177002
step 579, loss: 3.8251891136169434
step 580, loss: 2.9080827236175537
step 581, loss: 4.407614231109619
step 582, loss: 4.0915985107421875
step 583, loss: 3.992323637008667
step 584, loss: 4.1116156578063965
step 585, loss: 3.7215046882629395
step 586, loss: 4.998836994171143
step 587, loss: 4.184415340423584
step 588, loss: 3.948599100112915
step 589, loss: 4.629083156585693
step 590, loss: 3.7345290184020996
step 591, loss: 4.334741592407227
step 592, loss: 4.259176731109619
step 593, loss: 4.474061965942383
step 594, loss: 3.9421188831329346
step 595, loss: 3.8812856674194336
step 596, loss: 3.4817748069763184
step 597, loss: 3.3787436485290527
step 598, loss: 4.233025074005127
step 599, loss: 3.61014986038208
step 600, loss: 4.539452075958252
step 601, loss: 3.3461403846740723
step 602, loss: 3.739741086959839
step 603, loss: 4.744901180267334
step 604, loss: 4.296107292175293
step 605, loss: 4.315402984619141
step 606, loss: 4.380451679229736
step 607, loss: 3.904862880706787
step 608, loss: 5.265620708465576
step 609, loss: 4.191117763519287
step 610, loss: 3.6311278343200684
step 611, loss: 3.7073287963867188
step 612, loss: 4.105147838592529
step 613, loss: 3.4885690212249756
step 614, loss: 2.5846121311187744
step 615, loss: 3.5649948120117188
step 616, loss: 3.283432960510254
step 617, loss: 3.2325546741485596
step 618, loss: 3.483463764190674
step 619, loss: 4.021677494049072
step 620, loss: 3.8198390007019043
step 621, loss: 4.1553521156311035
step 622, loss: 4.041908264160156
step 623, loss: 4.258021354675293
step 624, loss: 3.4311907291412354
step 625, loss: 4.113290309906006
step 626, loss: 4.234845161437988
step 627, loss: 3.4258673191070557
step 628, loss: 3.764629602432251
step 629, loss: 4.469753742218018
step 630, loss: 4.171108245849609
step 631, loss: 3.4634830951690674
step 632, loss: 4.406610012054443
step 633, loss: 3.740154266357422
step 634, loss: 3.8057048320770264
step 635, loss: 2.6556637287139893
step 636, loss: 3.3531594276428223
step 637, loss: 3.20513916015625
step 638, loss: 2.7433724403381348
step 639, loss: 2.8954153060913086
step 640, loss: 4.778416156768799
step 641, loss: 5.41848087310791
step 642, loss: 3.4458999633789062
step 643, loss: 3.2815818786621094
step 644, loss: 4.016055583953857
step 645, loss: 4.87970495223999
step 646, loss: 4.0791215896606445
step 647, loss: 4.435027122497559
step 648, loss: 3.145630359649658
step 649, loss: 4.229874610900879
step 650, loss: 3.7494308948516846
step 651, loss: 4.3323259353637695
step 652, loss: 3.7725472450256348
step 653, loss: 4.539317607879639
step 654, loss: 4.03127908706665
step 655, loss: 4.424129009246826
step 656, loss: 4.241631507873535
step 657, loss: 4.184957027435303
step 658, loss: 3.727393865585327
step 659, loss: 3.507469654083252
step 660, loss: 3.6686718463897705
step 661, loss: 3.331425666809082
step 662, loss: 3.7619335651397705
step 663, loss: 2.3343942165374756
step 664, loss: 3.338174343109131
step 665, loss: 4.116832733154297
step 666, loss: 2.675865650177002
step 667, loss: 3.964273452758789
step 668, loss: 3.2095212936401367
step 669, loss: 3.2218868732452393
step 670, loss: 3.346663236618042
step 671, loss: 4.547794818878174
step 672, loss: 3.5576210021972656
step 673, loss: 2.8349132537841797
step 674, loss: 3.3291821479797363
step 675, loss: 2.4406323432922363
step 676, loss: 2.1138954162597656
step 677, loss: 4.311446666717529
step 678, loss: 3.26688289642334
step 679, loss: 3.788295269012451
step 680, loss: 4.312050819396973
step 681, loss: 4.713177680969238
step 682, loss: 5.026395797729492
step 683, loss: 3.7700400352478027
step 684, loss: 2.449939727783203
step 685, loss: 2.514400005340576
step 686, loss: 2.7536120414733887
step 687, loss: 2.86897611618042
step 688, loss: 3.3688127994537354
step 689, loss: 2.7180216312408447
step 690, loss: 3.757908821105957
step 691, loss: 4.4476189613342285
step 692, loss: 4.737434387207031
step 693, loss: 3.1816306114196777
step 694, loss: 2.6728837490081787
step 695, loss: 3.9937939643859863
step 696, loss: 3.8514392375946045
step 697, loss: 3.245821237564087
step 698, loss: 3.2109861373901367
step 699, loss: 3.2400383949279785
step 700, loss: 3.412933349609375
step 701, loss: 3.2735090255737305
step 702, loss: 3.196040391921997
step 703, loss: 4.5808563232421875
step 704, loss: 4.175414562225342
step 705, loss: 4.115406513214111
step 706, loss: 3.832961320877075
step 707, loss: 4.4505486488342285
step 708, loss: 4.911070823669434
step 709, loss: 3.505342960357666
step 710, loss: 4.400944232940674
step 711, loss: 4.609832286834717
step 712, loss: 4.377687454223633
step 713, loss: 4.919832706451416
step 714, loss: 4.461450576782227
step 715, loss: 3.2221713066101074
step 716, loss: 4.234313488006592
step 717, loss: 4.460127830505371
step 718, loss: 3.963320255279541
step 719, loss: 3.2655320167541504
step 720, loss: 3.1622235774993896
step 721, loss: 3.420419931411743
step 722, loss: 3.3606438636779785
step 723, loss: 3.286412477493286
step 724, loss: 4.730571746826172
step 725, loss: 4.5209479331970215
step 726, loss: 4.361079692840576
step 727, loss: 4.5232834815979
step 728, loss: 4.795870304107666
step 729, loss: 4.297868251800537
step 730, loss: 3.667675256729126
step 731, loss: 2.6813106536865234
step 732, loss: 3.886021137237549
step 733, loss: 3.824861764907837
step 734, loss: 4.033288478851318
step 735, loss: 4.393589496612549
step 736, loss: 4.123799800872803
step 737, loss: 3.337150812149048
step 738, loss: 3.2679731845855713
step 739, loss: 3.866957664489746
step 740, loss: 4.115380764007568
step 741, loss: 3.44160532951355
step 742, loss: 3.5236763954162598
step 743, loss: 3.977174758911133
step 744, loss: 3.4473958015441895
step 745, loss: 4.454002380371094
step 746, loss: 4.622211933135986
step 747, loss: 4.583146095275879
step 748, loss: 4.011759281158447
step 749, loss: 4.761345386505127
step 750, loss: 4.238533973693848
step 751, loss: 4.347911357879639
step 752, loss: 4.581821918487549
step 753, loss: 4.590087890625
step 754, loss: 4.633242607116699
step 755, loss: 3.9410228729248047
step 756, loss: 4.354451656341553
step 757, loss: 4.555123329162598
step 758, loss: 3.4802212715148926
step 759, loss: 4.446186542510986
step 760, loss: 4.614465713500977
step 761, loss: 4.380127429962158
step 762, loss: 4.597034931182861
step 763, loss: 3.6351702213287354
step 764, loss: 4.456620693206787
step 765, loss: 4.304673194885254
step 766, loss: 4.267419815063477
step 767, loss: 4.339310646057129
step 768, loss: 4.342396259307861
step 769, loss: 4.723591327667236
step 770, loss: 4.36590051651001
step 771, loss: 4.30037784576416
step 772, loss: 3.805178642272949
step 773, loss: 4.3504133224487305
step 774, loss: 4.788215637207031
step 775, loss: 4.541546821594238
step 776, loss: 3.9976587295532227
step 777, loss: 3.8404018878936768
step 778, loss: 3.747218132019043
step 779, loss: 4.009719371795654
step 780, loss: 3.5348024368286133
step 781, loss: 3.7007975578308105
step 782, loss: 4.639502048492432
step 783, loss: 3.9270644187927246
step 784, loss: 4.471218585968018
step 785, loss: 3.5599753856658936
step 786, loss: 3.214348077774048
step 787, loss: 4.128941535949707
step 788, loss: 4.961302757263184
step 789, loss: 4.50939416885376
step 790, loss: 3.941518783569336
step 791, loss: 4.6112961769104
step 792, loss: 3.822355270385742
step 793, loss: 4.6675496101379395
step 794, loss: 3.1955931186676025
step 795, loss: 3.621765375137329
step 796, loss: 3.8432059288024902
step 797, loss: 4.280978679656982
step 798, loss: 3.869335174560547
step 799, loss: 4.4099578857421875
step 800, loss: 3.213017463684082
step 801, loss: 3.041574001312256
step 802, loss: 3.407406806945801
step 803, loss: 4.3535237312316895
